input_id	source_accession	source_kind	path	sha256	scientific_use
AT_BENCHMARK_V1	PXD006140+PXD024061	derived_site_evidence	../processed/benchmark_v1/sites.tsv	386178330df17897606650fbd8c356ba66132cd1c3db10f8e33ad53f46d5904c	Arabidopsis study-stratified positive-unlabeled source rows
AT_PROTEOME_V1	taxonomy_id:3702	frozen_reference_proteome	../raw/references/arabidopsis_ref_proteome_v1.fasta	51559016416634d52e2c92f6c30bb4297149841b01a60f683394cacf9d1033bf	Arabidopsis cysteine coordinate verification and biological context features
AT_PANTHER_V1	taxonomy_id:3702	panther_subfamily_annotation	../raw/references/panther_annotations_v1/panther_arabidopsis_taxon3702.tsv	859156896af8d70d2c3262df31af6da7cd7411e56564b23b2958428348203dde	Optional homology grouping, with protein fallback when coverage is incomplete
PXD006140_S3	PXD006140	paper_supplement	../raw/supplements/PXD006140/erx294_suppl_supplementary_data_set_s3.xlsx	b4831646643204fca48dc6b13e76e68f5a8fe88fa999fc00884e5c0d4e1ded87	Lineage parent for the PXD006140 benchmark subset
AT_P42737_2_ISOFORM	P42737-2	coordinate_reference_isoform	../raw/supplements/_ref_fasta/P42737-2.fasta	e682a45b02b61deea9070d6f9d7a5435cb5efefbed52c814d180b24dad0bcab5	Coordinate and feature sequence for the one retained PXD006140 isoform-positive site; it does not enlarge the unlabeled universe
PXD024061_SULFIDE	PXD024061	deposited_search_output	../raw/supplements/PXD024061/Sulfide_C_Sites.txt	e9a1abfb5b38a75fe64626f707a0fc04917d628d1f3437d807982065891003d8	Lineage parent for the PXD024061 benchmark subset
PXD024061_CIANOBIOTIN	PXD024061	deposited_search_output	../raw/supplements/PXD024061/CianoBiotin_C_Sites.txt	a98a49e91ad41dbfa53f91a5de32629a7591b51f59d209f2f696e6b9365d00fb	Lineage parent for the PXD024061 benchmark subset
RICE_SD01	PXD072089	paper_supplement	../raw/supplements/PXD072089/pnas.2608150123.sd01.xlsx	6318477160ed6b0ca335aff97505d0deab899fcba261dcd76f8c06af614a7cae	Rice positive-site evidence
RICE_SD04	PXD072089	paper_supplement	../raw/supplements/PXD072089/pnas.2608150123.sd04.xlsx	834c21a60f950216b39c151b95e576b42c02edb4e9fdfd4af4a22f548833c8fe	Rice positive-site evidence
RICE_SS_ALL	PXD072089	deposited_search_output	../raw/supplements/PXD072089/SS-all-peptides.tsv	57c4ce64b5747eb591e879565916c04e0901ea228c20e511b2e1804fb384890c	Rice positive-site evidence
RICE_PROTEOME_V1	taxonomy_id:4530	frozen_reference_proteome	../raw/references/rice_proteome_v1/uniprot_rice_v1.fasta	fc20c76a58c6e5695e57cf2f389b91cff2af15bd7d23182b1dc1f99123b9322b	Rice cysteine coordinate verification and biological context features
RICE_PANTHER_V1	taxonomy_id:4530	panther_subfamily_annotation	../raw/references/panther_annotations_v1/panther_rice_taxon4530.tsv	d362ccf6a109c6e2eca337b3a1799cfba489bb324aeee1e0b45180e659be7f50	Optional homology grouping, with protein fallback when coverage is incomplete
MAGNAPORTHE_SITES_TSV	PXD063170	registered_xlsx_derivative	../raw/supplements/PXD063170/PXD063170_sites_moesm3.tsv	741a6b89d5482da9d5eca73b168404861f2c27291632acf0472cd8d94d19746e	Coordinate-verified Magnaporthe site parser input
MAGNAPORTHE_SITES_XLSX	PXD063170	paper_supplement	../raw/supplements/PXD063170/41467_2025_61582_MOESM3_ESM.xlsx	5da579af1560819863b45c1af6966a53746725b20d5546b115212381b86bec49	Lineage parent for the registered Magnaporthe TSV derivative
MAGNAPORTHE_PROTEOME_V1	PXD063170	frozen_reference_proteome	../raw/supplements/PXD063170/Magnaporthe_oryzae.MG8.pep.all.fa	0466bf3d2af6fa6a6d44cf74d72a6aa717dc948963ef8b52f7224e70f0470293	Magnaporthe cysteine coordinate verification and biological context features
MAGNAPORTHE_PANTHER_V1	taxonomy_id:242507	panther_subfamily_annotation	../raw/references/panther_annotations_v1/panther_magnaporthe_taxon242507.tsv	79ff37494f3e5fc42589a863ae062c5d5a1b7d43ef95c997c47ce5559ac55c9d	Optional homology grouping, with protein fallback when coverage is incomplete
TOMATO_PROTEOME_V1	taxonomy_id:4081	frozen_reference_proteome	../raw/references/tomato_ref_proteome_v1.fasta	1a46efe6461b239ec80b915a4c23ea39bbe39e37d43f9cc7c38b648523efca0f	Target-label-free tomato candidate universe and biological context features
