accession	repository	scientific_role	title	organism	bioproject_accession	sra_study_accession	publication_date	source_url	metadata_retrieved_at	metadata_cache_path	metadata_sha256	license_or_usage
GSE142712	GEO	tomato_ripening_chipseq	Histone demethylase SlJMJ6 promotes fruit ripening by removing H3K27 methylation of ripening-related genes in tomato [ChIP-Seq]	Solanum lycopersicum	PRJNA598114	SRP239045	2020-04-13	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142712&targ=self&form=text&view=brief	2026-07-20T14:41:46.358474+00:00	cache/geo/GSE142712.json	a756913a3372b3a72f3ca6907c6a45baecdc2481aabb754d1012e34be123c385	NCBI GEO data disclaimer
GSE142713	GEO	tomato_ripening_transcriptome	Histone demethylase SlJMJ6 promotes fruit ripening by removing H3K27 methylation of ripening-related genes in tomato [RNA-Seq]	Solanum lycopersicum	PRJNA598113	SRP239046	2020-04-13	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142713&targ=self&form=text&view=brief	2026-07-20T14:41:42.324087+00:00	cache/geo/GSE142713.json	60c39919cedb00a956fbff4a85f499bdd2713604345d1fa4b9ca4d9fff7613a5	NCBI GEO data disclaimer
GSE163745	GEO	tomato_ripening_transcriptome	Single and double mutations in tomato ripening transcription factors have distinct effects on fruit development and quality traits	Solanum lycopersicum	PRJNA687418	SRP299054	2020-12-24	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163745&targ=self&form=text&view=brief	2026-07-20T14:41:38.663028+00:00	cache/geo/GSE163745.json	20f52bd62689003b8d7185167c6e18ec70b9e1178da3342134a447c138c5f228	NCBI GEO data disclaimer
GSE267238	GEO	tomato_ripening_transcriptome	Next Generation Sequencing Facilitates Quantitative Analysis of Transcriptomes of Pericarps from Wild-type and Mutant Fruits.	Solanum lycopersicum	PRJNA1110595	SRP507127	2024-12-04	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267238&targ=self&form=text&view=brief	2026-07-20T14:41:50.390969+00:00	cache/geo/GSE267238.json	65afacd02e50f099d3ceae2d26cced8d1913db2a302f68dc85d1ce9b075f0321	NCBI GEO data disclaimer
PXD006140	PRIDE	discovery_persulfidation	Subproteome persulfidation reveals the regulation of protein function by hydrogen sulfide in diverse biological processes in Arabidopsis thaliana	Arabidopsis thaliana (mouse-ear cress)			2018-10-24	https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD006140	2026-07-20T14:41:10.993811+00:00	cache/pride/PXD006140.json	642ae3891e3dc4c131a95b3cb80c6593c511fcd9bf0fb57ffbdb0956eba9d0a3	EBI terms of use
PXD024061	PRIDE	external_persulfidation	Label-free quantitative proteomic analysis of nitrogen starvation in Arabidopsis root reveals new aspects of H2S signaling by protein persulfidation	Arabidopsis thaliana (mouse-ear cress)			2021-09-09	https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD024061	2026-07-20T14:41:15.922944+00:00	cache/pride/PXD024061.json	695e4267b02daf32cb6c50d79290cf649f8c7d9c1e22d818378656dbceac22f0	Creative Commons Public Domain (CC0)
PXD035795	PRIDE	external_persulfidation	Sulfide regulation through persulfidation under non-photorespiratory conditions in Arabidopsis	Arabidopsis thaliana (mouse-ear cress)			2023-02-26	https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD035795	2026-07-20T14:41:22.126465+00:00	cache/pride/PXD035795.json	f8cc1ce234836f6d5ad89b43b5319ff599510ea931ec19d9f2d81472a40568dd	Creative Commons Public Domain (CC0)
PXD038309	PRIDE	cross_species_persulfidation_external	3-Mercaptopyruvate sulfur transferase is a protein persulfidase	Homo sapiens (human)			2023-05-10	https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD038309	2026-08-10T18:26:44.835552+00:00	cache/pride/PXD038309.json	288c7945b634d19260cb380e6d5b381565ae4335f01347187d9e1be012783969	Creative Commons Public Domain (CC0)
PXD039999	PRIDE	external_persulfidation	Sulfide promotes tolerance to drought through protein persulfidation in Arabidopsis	Arabidopsis thaliana (mouse-ear cress)			2023-10-24	https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD039999	2026-07-20T14:41:27.739855+00:00	cache/pride/PXD039999.json	2e8b641d64d859796009770fcce7effe91f153b5c2178c4b8111e77ff52040c2	Creative Commons Public Domain (CC0)
PXD055278	PRIDE	external_snitrosylation	Nitric Oxide Regulates Stomatal Development and Stress Responses by S-Nitrosylation-Mediated Inhibiting Phosphorylation of MPK6	Arabidopsis thaliana (mouse-ear cress)			2025-02-21	https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055278	2026-08-16T07:09:21.805715+00:00	cache/pride/PXD055278.json	4ee6b66e3d3652419cea8b610c4de13f1cfd940741106a0969ca0bbcf8af6a69	Creative Commons Public Domain (CC0)
PXD063170	PRIDE	cross_species_persulfidation_external	H2S-mediated S-sulfhydration coordinates autophagy and infection of the rice blast fungus	Oryza sativa (rice)			2025-06-12	https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD063170	2026-08-10T18:26:39.332503+00:00	cache/pride/PXD063170.json	b579a84484868a54c5cd7c7e06445b722f107c2722eb6bf2a447bc7e71eac2e6	Creative Commons Public Domain (CC0)
