dataset_accession	repository	record_type	file_name	file_category	source_url	size_bytes	remote_checksum	remote_checksum_algorithm	path	sha256	status	retrieved_at
GSE142712	GEO	metadata_cache	GSE142712.json	official_metadata	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142712&targ=self&form=text&view=brief	72842			cache/geo/GSE142712.json	a756913a3372b3a72f3ca6907c6a45baecdc2481aabb754d1012e34be123c385	cached	2026-07-20T14:41:46.358474+00:00
GSE142712	GEO	source_file	GSE142712_RAW.tar	supplementary	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142712/suppl/GSE142712_RAW.tar						remote_only	2026-07-20T14:41:46.358474+00:00
GSE142712	GEO	sra_metadata_cache	SRP239045.json	official_sra_metadata	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=sra&id=9772311%2C9772310%2C9772309%2C9772308%2C9772307%2C9772306%2C9772305%2C9772304%2C9772303%2C9772302%2C9772301%2C9772300%2C9772299%2C9772298%2C9772297%2C9772296%2C9772295%2C9772294&rettype=runinfo&retmode=text	10561			cache/sra/SRP239045.json	ce660312ec491001b3d045c0a5d6b857d92ae90d4dd7b727ee4ac65bff010987	cached	2026-07-20T14:50:06.077452+00:00
GSE142713	GEO	metadata_cache	GSE142713.json	official_metadata	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142713&targ=self&form=text&view=brief	22972			cache/geo/GSE142713.json	60c39919cedb00a956fbff4a85f499bdd2713604345d1fa4b9ca4d9fff7613a5	cached	2026-07-20T14:41:42.324087+00:00
GSE142713	GEO	source_file	GSE142713_WT-vs-J6.all.annot.txt.gz	supplementary	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142713/suppl/GSE142713_WT-vs-J6.all.annot.txt.gz						remote_only	2026-07-20T14:41:42.324087+00:00
GSE142713	GEO	sra_metadata_cache	SRP239046.json	official_sra_metadata	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=sra&id=9772317%2C9772316%2C9772315%2C9772314%2C9772313%2C9772312&rettype=runinfo&retmode=text	5072			cache/sra/SRP239046.json	fb60f6fe180760d4e675c24e6cc02464bad6e2f3c87265bb1407294935cf627a	cached	2026-07-20T14:50:02.607330+00:00
GSE163745	GEO	metadata_cache	GSE163745.json	official_metadata	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163745&targ=self&form=text&view=brief	30618			cache/geo/GSE163745.json	20f52bd62689003b8d7185167c6e18ec70b9e1178da3342134a447c138c5f228	cached	2026-07-20T14:41:38.663028+00:00
GSE163745	GEO	source_file	GSE163745_Read.counts.txt.gz	supplementary	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163745/suppl/GSE163745_Read.counts.txt.gz						remote_only	2026-07-20T14:41:38.663028+00:00
GSE163745	GEO	sra_metadata_cache	SRP299054.json	official_sra_metadata	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=sra&id=12714475%2C12714474%2C12714473%2C12714472%2C12714471%2C12714470%2C12714469%2C12714468&rettype=runinfo&retmode=text	5622			cache/sra/SRP299054.json	5a8386e1830c4b1fb36b7b2a59099dcd097f49435e4241117d69f6d977a796fe	cached	2026-07-20T14:49:59.280989+00:00
GSE267238	GEO	metadata_cache	GSE267238.json	official_metadata	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267238&targ=self&form=text&view=brief	32813			cache/geo/GSE267238.json	65afacd02e50f099d3ceae2d26cced8d1913db2a302f68dc85d1ce9b075f0321	cached	2026-07-20T14:41:50.390969+00:00
GSE267238	GEO	source_file	GSE267238_gene_count.txt.gz	supplementary	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267238/suppl/GSE267238_gene_count.txt.gz						remote_only	2026-07-20T14:41:50.390969+00:00
GSE267238	GEO	source_file	GSE267238_gene_fpkm.txt.gz	supplementary	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267238/suppl/GSE267238_gene_fpkm.txt.gz						remote_only	2026-07-20T14:41:50.390969+00:00
GSE267238	GEO	source_file	GSE267238_novel_gene.txt.gz	supplementary	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267238/suppl/GSE267238_novel_gene.txt.gz						remote_only	2026-07-20T14:41:50.390969+00:00
GSE267238	GEO	sra_metadata_cache	PRJNA1110595.json	official_sra_metadata	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=sra&id=32845583%2C32845582%2C32845581%2C32845580%2C32845579%2C32845578%2C32845577%2C32845576%2C32845575%2C32845574%2C32845573%2C32845572&rettype=runinfo&retmode=text	8465			cache/sra/PRJNA1110595.json	031a6dc4f67aea7516a3a7bdc21d2e518053c35ca5b776bcd25c024026d593f4	cached	2026-07-20T14:50:10.424373+00:00
PXD006140	PRIDE	metadata_cache	PXD006140.json	official_metadata	https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD006140	23048			cache/pride/PXD006140.json	642ae3891e3dc4c131a95b3cb80c6593c511fcd9bf0fb57ffbdb0956eba9d0a3	cached	2026-07-20T14:41:10.993811+00:00
