gene	species	cys_position	oxidation_type	accession	observed_residue	status	source	source_note
ACOh4	tomato	172	s-nitrosylation	A0A3Q7FZA2	C	verified	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; TOMATO cv. Ailsa Craig, Liu et al. 2023 (New Phytol 239:159-173, doi:10.1111/nph.18928). RESOLVED via NCBI Gene LOC101265426 '1-aminocyclopropane-1-carboxylate oxidase homolog 4' (protein 460382410, 366aa): A0A3Q7FZA2 in the registered tomato proteome is an exact match and carries Cys at 172 (annotated as 'Fe2OG dioxygenase', which is why the name scan missed it)
MEK1	tomato	172	s-nitrosylation	O48616	C	verified	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; TOMATO cv. Micro-Tom, Fang et al. 2026 — tomato MAPKK, Cys verified at 172
GSNOR1	arabidopsis	10	s-nitrosylation	Q0WM36	P	coverage_gap	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; Arabidopsis (gsnor1-3), Zhan et al. 2018 (hypoxia). Coverage gap: canonical GSNOR1 absent from proteome v2; only 195-residue fragment Q0WM36 (Pro at 10)
GSNOR	tomato	47	s-nitrosylation			coverage_gap	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; TOMATO cv. Micro-Tom, Huang et al. 2026 (Cd stress). Coverage gap: tomato S-nitrosoglutathione reductase absent from registered tomato proteome
LCD	tomato	225	s-nitrosylation			coverage_gap	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; TOMATO cv. Micro-Tom, Huang et al. 2026. Coverage gap: tomato L-cysteine desulfhydrase absent (only D-cysteine desulfhydrase present)
P5CR	tomato	5	s-nitrosylation	A0A3Q7FME1	C	verified	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; TOMATO SlP5CR (pyrroline-5-carboxylate reductase, SlP5CRC5S mutants), Liu et al. 2024 — Cys verified at 5
HA2	tomato	206	s-nitrosylation	Q9SPD5	C	verified	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; TOMATO cv. Ailsa Craig, Wei et al. 2025 (Plant Cell 37:koaf035, doi:10.1093/plcell/koaf035). RESOLVED: Q9SPD5 (GN=LHA2, 956aa) is 100% identical to NCBI 'plasma membrane H+-ATPase isoform LHA2' (5901757) and carries Cys at 206; the 704-residue P23980 fragment with Gly at 206 is the old truncated record of the same gene
RAB7	arabidopsis	171	s-nitrosylation	Q9XI98	C	verified	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; RABG3E (aka RAB7, rab7-1/rab7-2), Lin et al. 2023 — Cys verified at 171
PRMT5	arabidopsis	125	s-nitrosylation			coverage_gap	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; Arabidopsis (prmt5-1), Hu et al. 2017. Coverage gap: PRMT5/SKB1 absent from reference proteome v2
MPK6	arabidopsis	201	s-nitrosylation	Q39026	C	verified	COPLBI-D-26-00068 Table 1 / body text (S-nitrosation column)	review Table 1 / body text; Arabidopsis (mpk6-3), Wang et al. 2025 — Cys verified at 201
AT1G01050	arabidopsis	96	s-nitrosylation	Q93V56	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01090	arabidopsis	101	s-nitrosylation	O24457	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01100	arabidopsis	9	s-nitrosylation	A8MQK8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01140	arabidopsis	133	s-nitrosylation	Q9MAM1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01220	arabidopsis	991	s-nitrosylation	Q9LNJ9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01300	arabidopsis	176	s-nitrosylation	Q9LNJ3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01560	arabidopsis	178	s-nitrosylation	A0A1P8ASZ4	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01620	arabidopsis	140	s-nitrosylation	Q08733	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01710	arabidopsis	129	s-nitrosylation	F4HU51	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01790	arabidopsis	270	s-nitrosylation	Q9ZTZ7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01800	arabidopsis	21	s-nitrosylation	F4HU62	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G01960	arabidopsis	104	s-nitrosylation	Q9LPC5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02020	arabidopsis	316	s-nitrosylation	A0A1P8ATD0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02080	arabidopsis	580	s-nitrosylation	F4HVV6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02090	arabidopsis	151	s-nitrosylation	F4HVW0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
