input_id	source_accession	source_kind	container_url	path	retrieved_at	size_bytes	sha256	data_level	scientific_use	derivation
TOMATO_UNIPROT_TAXON4081_V1	taxonomy_id:4081	uniprotkb_taxonomy_snapshot	https://rest.uniprot.org/uniprotkb/stream?format=fasta&query=%28taxonomy_id%3A4081%29	../raw/references/tomato_ref_proteome_v1.fasta	2026-07-21T11:30:36+00:00	17641229	1a46efe6461b239ec80b915a4c23ea39bbe39e37d43f9cc7c38b648523efca0f	C	tomato_site_coordinate_validation_and_pu_candidate_universe	Frozen 36,988-entry UniProtKB taxonomy_id:4081 snapshot. The local creation timestamp is the available retrieval record. On 2026-08-11 every local accession and amino-acid sequence matched the official current taxonomy stream; the current stream contained 27 additional entries and is therefore not substituted for this frozen snapshot.
ARABIDOPSIS_REFERENCE_PROTEOME_V2	derived:AT_PROTEOME_V1+AT_P42737_2_ISOFORM	derived_reference_proteome	local:data/registry/arabidopsis_ref_proteome_v2.manifest.json	../raw/references/arabidopsis_ref_proteome_v2.fasta	2026-08-11T23:54:47.8843407+08:00	27625820	17323007f7a024a0e2279894ef9432999139a4519983a7cfd87afbd73b74ad73	C	global_multispecies_strict_homology_clustering_v2	Deterministic concatenation of frozen Arabidopsis reference proteome v1 (SHA256 51559016416634d52e2c92f6c30bb4297149841b01a60f683394cacf9d1033bf) and the separately registered P42737-2 coordinate-reference isoform (SHA256 e682a45b02b61deea9070d6f9d7a5435cb5efefbed52c814d180b24dad0bcab5); see arabidopsis_ref_proteome_v2.manifest.json.
GLOBAL_MMSEQS2_CLUSTERS_V2	derived:four_registered_reference_proteomes	global_mmseqs2_cluster_table	local:data/processed/clusters/global_multispecies_mmseqs2_v2.manifest.json	../processed/clusters/global_multispecies_mmseqs2_30_v2.tsv	2026-08-12T00:00:00+08:00	24416849	728111193d3caed63d47d5621dd51df6070cdca6c391722c5957e4bfefba5920	C	multispecies_v2_strict_split_input	Immutable primary 30-percent global MMseqs2 cluster table.
MULTISPECIES_STRICT_SPLIT_V4	derived:GLOBAL_MMSEQS2_CLUSTERS_V2+registered_positive_evidence	frozen_cluster_split	local:configs/experiments/multispecies_v2_global_clusters_v4.yaml	../processed/splits/multispecies_strict_v4.tsv	2026-08-12T00:00:00+08:00	24371099	a9d16740ec2cfc3f0dbdb9612a7a867566c19bb00be07bd90b9597d3da1eabb8	C	multispecies_v2_strict_development_boundary	Immutable globally homology-blocked development/test boundary with per-fold positive minimums.
MULTISPECIES_V2_DEVELOPMENT_POSITIVES_V4	derived:MULTISPECIES_STRICT_SPLIT_V4+registered_positive_evidence	frozen_development_positive_manifest	local:scripts/freeze_multispecies_v2_development_positives.py	../processed/positives/multispecies_v2_development_positives_v4.tsv	2026-08-12T03:00:00+08:00	325833	58444a14d2c7abfcff13c8fcb6124533cb4a4f8b1f2fba38ab68ad2bbaacc296	C	multispecies_v2_development_training_only	Immutable development-only positive coordinates; contains no frozen-test protein and is the only positive artifact accessible to normal development commands.
ESM2_T33_650M_UR50D_CHECKPOINT_V1	fair-esm:esm2_t33_650M_UR50D	pretrained_model_checkpoint	https://dl.fbaipublicfiles.com/fair-esm/models/esm2_t33_650M_UR50D.pt	../raw/models/esm2_t33_650M_UR50D.pt	2026-07-21T22:05:58+08:00	2604537549	ea9d0522b335a8778dea6535a65301f10208dece28cd5865482b0b1fc446168c	C	multispecies_v2_literature_comparable_esm_features	Frozen FAIR-ESM ESM-2 t33 650M UR50D checkpoint copied byte-identically from the audited local torch checkpoint cache.
MULTISPECIES_V2_ESM2_WINDOWS_V1_MANIFEST	derived:ESM2_T33_650M_UR50D_CHECKPOINT_V1+four_registered_reference_proteomes	derived_feature_manifest	local:configs/experiments/multispecies_v2_global_clusters_v4.yaml	../processed/features/multispecies_v2_esm2_t33_windows_v1/manifest.json	2026-08-12T04:13:00+08:00	922	d55e778968ade569063ebe373d4a94b83772cc98dd5b9e08d4272c61888590a6	C	multispecies_v2_literature_comparable_esm_linear_head	Hash-bound manifest for 389,609 exact shared-panel Cys windows embedded on CUDA with frozen ESM-2 t33 650M; no biological values modified.
MULTISPECIES_V2_ESM2_WINDOWS_V1_KEYS	derived:MULTISPECIES_V2_ESM2_WINDOWS_V1_MANIFEST	derived_feature_index	local:data/processed/features/multispecies_v2_esm2_t33_windows_v1/manifest.json	../processed/features/multispecies_v2_esm2_t33_windows_v1/site_keys.tsv	2026-08-12T04:13:00+08:00	10419162	040eeb0ac32383f9518d0fe3597ddf7ab7e4c8de55e8d8e1356388cd27a01c9f	C	multispecies_v2_literature_comparable_esm_linear_head	Exact species-qualified site-key to matrix-row mapping for all ten shared panels.
MULTISPECIES_V2_ESM2_WINDOWS_V1_MATRIX	derived:MULTISPECIES_V2_ESM2_WINDOWS_V1_MANIFEST	derived_feature_matrix	local:data/processed/features/multispecies_v2_esm2_t33_windows_v1/manifest.json	../processed/features/multispecies_v2_esm2_t33_windows_v1/embeddings.npy	2026-08-12T04:13:00+08:00	1994798208	2cb80a424cb54b569aaf50c4fc45e275c8295949b79efdf22a5713b8d7724ba3	C	multispecies_v2_literature_comparable_esm_linear_head	Float32 389609-by-1280 frozen ESM-2 center-residue embedding matrix; complete shared-panel coverage required at load time.
ALPHAFOLD_STRUCTURES_RELEASE_V2	derived:ALPHAFOLD_STRUCTURE_REGISTRY	frozen_structure_registry_snapshot	local:data/registry/alphafold_structures.tsv	releases/alphafold_structures_release_v2.tsv	2026-07-27T00:00:00+08:00	471003	bee2d30ed28d754a7162283bb3c6080928dbc6a4cfa563958c48bd0146188075	C	multispecies_v2_literature_comparable_structure_ranker	Frozen snapshot of 2,006 SHA256-registered AlphaFold structure records; absent proteins remain explicitly masked.
