study_accession	source_type	file_name	relative_path	official_url	registry_size_bytes	download_size_bytes	remote_checksum_algorithm	remote_checksum	sha256	scientific_use
PXD006140	repository_file	omssa.20150821_01_AAroca_TMT6plex.cmpd.mgf.txt	PXD006140/omssa.20150821_01_AAroca_TMT6plex.cmpd.mgf.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD006140/omssa.20150821_01_AAroca_TMT6plex.cmpd.mgf.txt	18002787	18002787	SHA1	45575a5c3b20888c6dcff1a0d5ee24e79b668bce	f8d052626f9f792495c785b7b42d657e2effb3a982c2f8ba561c7c320f37bdcb	Task 4 coordinate-only audit
PXD006140	repository_file	omssa.ne.20150821_01_AAroca_TMT6plex.cmpd.mgf.txt	PXD006140/omssa.ne.20150821_01_AAroca_TMT6plex.cmpd.mgf.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD006140/omssa.ne.20150821_01_AAroca_TMT6plex.cmpd.mgf.txt	18392921	18392921	SHA1	632f498e234282fc99850631ac5310dc04814677	9bbf2f88f51ab9a80b62315dd2b61f86f0d4290d8457591d28912a252af971ea	Task 4 coordinate-only audit
PXD024061	repository_file	checksum.txt	PXD024061/checksum.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD024061/checksum.txt	3056	3056	SHA1	77942ce00634b0838a7d26c0315bda045c88b01a	38bb488f0c30ae11b5f8f50d7eb35350ffa19649a4c30825047b9494167073d3	Provenance inventory only
PXD035795	repository_file	SDRF.txt	PXD035795/SDRF.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD035795/SDRF.txt	4671	4671	SHA1	757d36bda0795d074e6517819e8e18dc98df271a	335934a0c9b307c99cbdd1c6be05d9da3813d4ee0d9645006f3cbf528a9c5fd1	Task 5 experimental-design audit
PXD035795	repository_file	checksum.txt	PXD035795/checksum.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD035795/checksum.txt	2753	2753	SHA1	76cf603ac24a02809b4f00fabb9c7eff88fddc3c	81033d0e37a129ed6d59601d8662e964af94a4f66825571fa0a0ed4145fd137c	Provenance inventory only
PXD035795	repository_file	peptide.csv	PXD035795/peptide.csv	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD035795/peptide.csv	1715391	1715391	SHA1	1deee13bedb99221ffa6e4e3a920ec57ef599899	63f2df50a2748d5614a8cfad16cf19c4d7dfac4825d67136382b1fc1fb62ab47	Task 5 identification-only content audit
PXD035795	repository_file	peptides_1_1_0.mzid.gz	PXD035795/peptides_1_1_0.mzid.gz	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD035795/peptides_1_1_0.mzid.gz	1967088	184107	SHA1	efa9e8a79885a6fe796a127381a98debc22e9842	62105dfde42d9675bc5dc7c83969d971eec57c9e02983659cd2df96ec4d1b5fe	Task 5 unresolved-modification audit
PXD035795	repository_file	proteins.csv	PXD035795/proteins.csv	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/02/PXD035795/proteins.csv	494134	494134	SHA1	c7e3929045c8a9562d1bcd07d9015233841bc7a6	cd816699fd3427634c347bb0eb52ee6392c47218bc2bcee5cd55ef367e2115ba	Task 5 protein-level-only content audit
PXD039999	repository_file	checksum.txt	PXD039999/checksum.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD039999/checksum.txt	1840	1840	SHA1	58b38fac806ddbbfda4e4362423ce4c869bd897f	429e956508a6166ca8c51fdbe886aba8104f5c2550e9a99d88f8f268ec53eac0	Provenance inventory only
PXD055278	repository_file	ZJR_WDF_GSNO_1_20181120.xlsx	PXD055278/ZJR_WDF_GSNO_1_20181120.xlsx	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD055278/ZJR_WDF_GSNO_1_20181120.xlsx	10764	10764			9bbe83da515e14e105ed25d0e4181a8f426b9ae036e8308e19ff8b042db206cf	External SNO content audit — MPK6 Cys201 biotin-M cross-check
PXD055278	repository_file	checksum.txt	PXD055278/checksum.txt	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD055278/checksum.txt	225	225			a810ec637e6cccdfc7857a2abb62c6c702511e255da1086bf1d799b845cc7a7f	Provenance inventory only
PXD035795	method_publication	Persulfidation_protects.pdf	methods/PXD035795/Persulfidation_protects.pdf	https://idus.us.es/server/api/core/bitstreams/de6bc2aa-507d-4578-9636-ec963cbf3777/content	11657462	11657462			90b8c49cc80f950b08ad6bca2d91a1d4030ef588c7e6115ba1b335891c43a554	Task 5 method audit only
