dataset_accession	sample_accession	title	organism	source_name	characteristics_json	biosample_accession	sra_experiment_accession	sra_run_accessions
GSE142712	GSM4238125	WT_H3K27me3_ChIPSeq_IP rep1	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: wild type (WT)"",""chip antibody: H3K27me3 (07-449, Millipore)""]"	SAMN13698510	SRX7477104	SRR10803222
GSE142712	GSM4238126	WT_H3K27me3_ChIPSeq_IP rep2	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: wild type (WT)"",""chip antibody: H3K27me3 (07-449, Millipore)""]"	SAMN13698527	SRX7477105	SRR10803223
GSE142712	GSM4238127	WT_H3K27me3_ChIPSeq_IP rep3	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: wild type (WT)"",""chip antibody: H3K27me3 (07-449, Millipore)""]"	SAMN13698526	SRX7477106	SRR10803224
GSE142712	GSM4238128	WT_H3K27me3_ChIPSeq_Input rep1	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: wild type (WT)"",""chip antibody: none""]"	SAMN13698525	SRX7477107	SRR10803225
GSE142712	GSM4238129	WT_H3K27me3_ChIPSeq_Input rep2	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: wild type (WT)"",""chip antibody: none""]"	SAMN13698524	SRX7477108	SRR10803226
GSE142712	GSM4238130	WT_H3K27me3_ChIPSeq_Input rep3	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: wild type (WT)"",""chip antibody: none""]"	SAMN13698523	SRX7477109	SRR10803227
GSE142712	GSM4238131	JMJ6-OE_H3K27me3_ChIPSeq_IP rep1	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: H3K27me3 (07-449, Millipore)""]"	SAMN13698522	SRX7477110	SRR10803228
GSE142712	GSM4238132	JMJ6-OE_H3K27me3_ChIPSeq_IP rep2	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: H3K27me3 (07-449, Millipore)""]"	SAMN13698521	SRX7477111	SRR10803229
GSE142712	GSM4238133	JMJ6-OE_H3K27me3_ChIPSeq_IP rep3	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: H3K27me3 (07-449, Millipore)""]"	SAMN13698520	SRX7477112	SRR10803230
GSE142712	GSM4238134	JMJ6-OE_H3K27me3_ChIPSeq_Input rep1	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: none""]"	SAMN13698519	SRX7477113	SRR10803231
GSE142712	GSM4238135	JMJ6-OE_H3K27me3_ChIPSeq_Input rep2	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: none""]"	SAMN13698518	SRX7477114	SRR10803232
GSE142712	GSM4238136	JMJ6-OE_H3K27me3_ChIPSeq_Input rep3	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: none""]"	SAMN13698517	SRX7477115	SRR10803233
GSE142712	GSM4238137	JMJ6-OE_GFP_ChIPSeq_IP rep1	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: GFP (ab290, Abcam)""]"	SAMN13698516	SRX7477116	SRR10803234
GSE142712	GSM4238138	JMJ6-OE_GFP_ChIPSeq_IP rep2	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: GFP (ab290, Abcam)""]"	SAMN13698515	SRX7477117	SRR10803235
GSE142712	GSM4238139	JMJ6-OE_GFP_ChIPSeq_IP rep3	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: GFP (ab290, Abcam)""]"	SAMN13698514	SRX7477118	SRR10803236
GSE142712	GSM4238140	JMJ6-OE_GFP_ChIPSeq_Input rep1	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: none""]"	SAMN13698513	SRX7477119	SRR10803237
GSE142712	GSM4238141	JMJ6-OE_GFP_ChIPSeq_Input rep2	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: none""]"	SAMN13698512	SRX7477120	SRR10803238
GSE142712	GSM4238142	JMJ6-OE_GFP_ChIPSeq_Input rep3	Solanum lycopersicum	Ailsa-Craig background	"[""develpmental stage: At 37 days after anthesis (dpa)"",""tissue: Pericarp"",""genotype: transgenic line (JMJ6-OE)"",""chip antibody: none""]"	SAMN13698511	SRX7477121	SRR10803239
