study_accession	member	publication_doi	source_kind	container	container_url	local_path	retrieved_at	size_bytes	sha256	data_level	scientific_use	downloader_version
PXD006140	erx294_suppl_supplementary_data_set_s3.xlsx	10.1093/jxb/erx294	paper_supplement	Europe PMC PMC5853657 supplementaryFiles	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5853657/supplementaryFiles	../raw/supplements/PXD006140/erx294_suppl_supplementary_data_set_s3.xlsx	2026-07-21T04:48:40.484299+00:00	13918329	b4831646643204fca48dc6b13e76e68f5a8fe88fa999fc00884e5c0d4e1ded87	C	persulfidation_site_evidence	plantpersulf/0.0.0
PXD024061	txt_persulfproject/Sulfide(C)Sites.txt	10.3390/antiox10040508	deposited_search_output	PRIDE txt_persulfproject.zip (SHA1 d0cbe145397569a685adb004ff25018edae81f88)	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD024061/txt_persulfproject.zip	../raw/supplements/PXD024061/Sulfide_C_Sites.txt	2026-07-21T04:48:40.484299+00:00	151666	e9a1abfb5b38a75fe64626f707a0fc04917d628d1f3437d807982065891003d8	C	persulfidation_site_evidence	plantpersulf/0.0.0
PXD024061	txt_persulfproject/CianoBiotin(C)Sites.txt	10.3390/antiox10040508	deposited_search_output	PRIDE txt_persulfproject.zip (SHA1 d0cbe145397569a685adb004ff25018edae81f88)	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD024061/txt_persulfproject.zip	../raw/supplements/PXD024061/CianoBiotin_C_Sites.txt	2026-07-21T04:48:40.484299+00:00	17083	a98a49e91ad41dbfa53f91a5de32629a7591b51f59d209f2f696e6b9365d00fb	C	persulfidation_site_evidence	plantpersulf/0.0.0
PXD063170	41467_2025_61582_MOESM3_ESM.xlsx	10.1038/s41467-025-61582-8	paper_supplement	Nature Communications supplementary information (s41467-025-61582-8)	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-61582-8/MediaObjects/41467_2025_61582_MOESM3_ESM.xlsx	../raw/supplements/PXD063170/41467_2025_61582_MOESM3_ESM.xlsx	2026-07-22T12:49:58.8852866+00:00	916083	5da579af1560819863b45c1af6966a53746725b20d5546b115212381b86bec49	C	persulfidation_site_evidence	plantpersulf/0.0.0
PXD063170	Magnaporthe_oryzae.MG8.pep.all.fa	10.1038/s41467-025-61582-8	reference_proteome	EnsemblFungi release-62 Magnaporthe_oryzae.MG8.pep.all.fa.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/fungi/release-62/fasta/magnaporthe_oryzae/pep/Magnaporthe_oryzae.MG8.pep.all.fa.gz	../raw/supplements/PXD063170/Magnaporthe_oryzae.MG8.pep.all.fa	2026-07-22T12:49:58.8852866+00:00	8747102	0466bf3d2af6fa6a6d44cf74d72a6aa717dc948963ef8b52f7224e70f0470293	C	cross_species_coordinate_validation	plantpersulf/0.0.0
PXD072089	pnas.2608150123.sd01.xlsx	10.1073/pnas.2608150123	paper_supplement	PNAS supplementary information (pnas.2608150123)	https://www.pnas.org/doi/suppl/10.1073/pnas.2608150123	../raw/supplements/PXD072089/pnas.2608150123.sd01.xlsx	2026-07-22T12:00:00.000000+00:00	151192	6318477160ed6b0ca335aff97505d0deab899fcba261dcd76f8c06af614a7cae	C	persulfidation_site_evidence	plantpersulf/0.0.0
PXD072089	pnas.2608150123.sd02.xlsx	10.1073/pnas.2608150123	paper_supplement	PNAS supplementary information (pnas.2608150123)	https://www.pnas.org/doi/suppl/10.1073/pnas.2608150123	../raw/supplements/PXD072089/pnas.2608150123.sd02.xlsx	2026-07-22T12:00:00.000000+00:00	301486	9c6520e7dca452e8e473b092c4307e0a06263a3a15566201fde90956430e7446	C	arabidopsis_ortholog_mapping	plantpersulf/0.0.0
PXD072089	pnas.2608150123.sd03.xlsx	10.1073/pnas.2608150123	paper_supplement	PNAS supplementary information (pnas.2608150123)	https://www.pnas.org/doi/suppl/10.1073/pnas.2608150123	../raw/supplements/PXD072089/pnas.2608150123.sd03.xlsx	2026-07-22T12:00:00.000000+00:00	659013	f8e8e02925207092590e09893533b3b11dc57926ae6f69d1df73606232addc52	C	quantitative_proteomics	plantpersulf/0.0.0
PXD072089	pnas.2608150123.sd04.xlsx	10.1073/pnas.2608150123	paper_supplement	PNAS supplementary information (pnas.2608150123)	https://www.pnas.org/doi/suppl/10.1073/pnas.2608150123	../raw/supplements/PXD072089/pnas.2608150123.sd04.xlsx	2026-07-22T12:00:00.000000+00:00	63699	834c21a60f950216b39c151b95e576b42c02edb4e9fdfd4af4a22f548833c8fe	C	persulfidation_site_evidence	plantpersulf/0.0.0
PXD072089	pnas.2608150123.sd05.xlsx	10.1073/pnas.2608150123	paper_supplement	PNAS supplementary information (pnas.2608150123)	https://www.pnas.org/doi/suppl/10.1073/pnas.2608150123	../raw/supplements/PXD072089/pnas.2608150123.sd05.xlsx	2026-07-22T12:00:00.000000+00:00	59422	5d339c68442d40acf938bb04d4ff017ab0b833b94f202bbb1460f6f764160c87	C	cross_species_alignment	plantpersulf/0.0.0
